id_fact_order|order_id|product_id|customer_id|order_date|supplier_id|category_id|quantity|unit_price|discount|amount|freight
1|10248|11|VINET|1996-07-04|5|4|12|14.0|0.0|168.0|32.38
2|10248|42|VINET|1996-07-04|20|5|10|9.8|0.0|98.0|32.38
3|10248|72|VINET|1996-07-04|14|4|5|34.8|0.0|174.0|32.38
4|10249|14|TOMSP|1996-07-05|6|7|9|18.6|0.0|167.4|11.61
5|10249|51|TOMSP|1996-07-05|24|7|40|42.4|0.0|1696.0|11.61
6|10250|41|HANAR|1996-07-08|19|8|10|7.7|0.0|77.0|65.83
7|10250|51|HANAR|1996-07-08|24|7|35|42.4|0.15|1484.0|65.83
8|10250|65|HANAR|1996-07-08|2|2|15|16.8|0.15|252.0|65.83
9|10251|22|VICTE|1996-07-08|9|5|6|16.8|0.05|100.80000000000001|41.34
10|10251|57|VICTE|1996-07-08|26|5|15|15.6|0.05|234.0|41.34
11|10251|65|VICTE|1996-07-08|2|2|20|16.8|0.0|336.0|41.34
12|10252|20|SUPRD|1996-07-09|8|3|40|64.8|0.05|2592.0|51.3
13|10252|33|SUPRD|1996-07-09|15|4|25|2.0|0.05|50.0|51.3
14|10252|60|SUPRD|1996-07-09|28|4|40|27.2|0.0|1088.0|51.3
15|10253|31|HANAR|1996-07-10|14|4|20|10.0|0.0|200.0|58.17
16|10253|39|HANAR|1996-07-10|18|1|42|14.4|0.0|604.8000000000001|58.17
17|10253|49|HANAR|1996-07-10|23|3|40|16.0|0.0|640.0|58.17
18|10254|24|CHOPS|1996-07-11|10|1|15|3.6|0.15|54.0|22.98
19|10254|55|CHOPS|1996-07-11|25|6|21|19.2|0.15|403.2|22.98
20|10254|74|CHOPS|1996-07-11|4|7|21|8.0|0.0|168.0|22.98
21|10255|2|RICSU|1996-07-12|1|1|20|15.2|0.0|304.0|148.33
22|10255|16|RICSU|1996-07-12|7|3|35|13.9|0.0|486.5|148.33
23|10255|36|RICSU|1996-07-12|17|8|25|15.2|0.0|380.0|148.33
24|10255|59|RICSU|1996-07-12|28|4|30|44.0|0.0|1320.0|148.33
25|10256|53|WELLI|1996-07-15|24|6|15|26.2|0.0|393.0|13.97
26|10256|77|WELLI|1996-07-15|12|2|12|10.4|0.0|124.80000000000001|13.97
27|10257|27|HILAA|1996-07-16|11|3|25|35.1|0.0|877.5|81.91
28|10257|39|HILAA|1996-07-16|18|1|6|14.4|0.0|86.4|81.91
29|10257|77|HILAA|1996-07-16|12|2|15|10.4|0.0|156.0|81.91
30|10258|2|ERNSH|1996-07-17|1|1|50|15.2|0.2|760.0|140.51
31|10258|5|ERNSH|1996-07-17|2|2|65|17.0|0.2|1105.0|140.51
32|10258|32|ERNSH|1996-07-17|14|4|6|25.6|0.2|153.60000000000002|140.51
33|10259|21|CENTC|1996-07-18|8|3|10|8.0|0.0|80.0|3.25
34|10259|37|CENTC|1996-07-18|17|8|1|20.8|0.0|20.8|3.25
35|10260|41|OTTIK|1996-07-19|19|8|16|7.7|0.25|123.2|55.09
36|10260|57|OTTIK|1996-07-19|26|5|50|15.6|0.0|780.0|55.09
37|10260|62|OTTIK|1996-07-19|29|3|15|39.4|0.25|591.0|55.09
38|10260|70|OTTIK|1996-07-19|7|1|21|12.0|0.25|252.0|55.09
39|10261|21|QUEDE|1996-07-19|8|3|20|8.0|0.0|160.0|3.05
40|10261|35|QUEDE|1996-07-19|16|1|20|14.4|0.0|288.0|3.05
41|10262|5|RATTC|1996-07-22|2|2|12|17.0|0.2|204.0|48.29
42|10262|7|RATTC|1996-07-22|3|7|15|24.0|0.0|360.0|48.29
43|10262|56|RATTC|1996-07-22|26|5|2|30.4|0.0|60.8|48.29
44|10263|16|ERNSH|1996-07-23|7|3|60|13.9|0.25|834.0|146.06
45|10263|24|ERNSH|1996-07-23|10|1|28|3.6|0.0|100.8|146.06
46|10263|30|ERNSH|1996-07-23|13|8|60|20.7|0.25|1242.0|146.06
47|10263|74|ERNSH|1996-07-23|4|7|36|8.0|0.25|288.0|146.06
48|10264|2|FOLKO|1996-07-24|1|1|35|15.2|0.0|532.0|3.67
49|10264|41|FOLKO|1996-07-24|19|8|25|7.7|0.15|192.5|3.67
50|10265|17|BLONP|1996-07-25|7|6|30|31.2|0.0|936.0|55.28
51|10265|70|BLONP|1996-07-25|7|1|20|12.0|0.0|240.0|55.28
52|10266|12|WARTH|1996-07-26|5|4|12|30.4|0.05|364.79999999999995|25.73
53|10267|40|FRANK|1996-07-29|19|8|50|14.7|0.0|735.0|208.58
54|10267|59|FRANK|1996-07-29|28|4|70|44.0|0.15|3080.0|208.58
55|10267|76|FRANK|1996-07-29|23|1|15|14.4|0.15|216.0|208.58
56|10268|29|GROSR|1996-07-30|12|6|10|99.0|0.0|990.0|66.29
57|10268|72|GROSR|1996-07-30|14|4|4|27.8|0.0|111.2|66.29
58|10269|33|WHITC|1996-07-31|15|4|60|2.0|0.05|120.0|4.56
59|10269|72|WHITC|1996-07-31|14|4|20|27.8|0.05|556.0|4.56
60|10270|36|WARTH|1996-08-01|17|8|30|15.2|0.0|456.0|136.54
61|10270|43|WARTH|1996-08-01|20|1|25|36.8|0.0|919.9999999999999|136.54
62|10271|33|SPLIR|1996-08-01|15|4|24|2.0|0.0|48.0|4.54
63|10272|20|RATTC|1996-08-02|8|3|6|64.8|0.0|388.79999999999995|98.03
64|10272|31|RATTC|1996-08-02|14|4|40|10.0|0.0|400.0|98.03
65|10272|72|RATTC|1996-08-02|14|4|24|27.8|0.0|667.2|98.03
66|10273|10|QUICK|1996-08-05|4|8|24|24.8|0.05|595.2|76.07
67|10273|31|QUICK|1996-08-05|14|4|15|10.0|0.05|150.0|76.07
68|10273|33|QUICK|1996-08-05|15|4|20|2.0|0.0|40.0|76.07
69|10273|40|QUICK|1996-08-05|19|8|60|14.7|0.05|882.0|76.07
70|10273|76|QUICK|1996-08-05|23|1|33|14.4|0.05|475.2|76.07
71|10274|71|VINET|1996-08-06|15|4|20|17.2|0.0|344.0|6.01
72|10274|72|VINET|1996-08-06|14|4|7|27.8|0.0|194.6|6.01
73|10275|24|MAGAA|1996-08-07|10|1|12|3.6|0.05|43.2|26.93
74|10275|59|MAGAA|1996-08-07|28|4|6|44.0|0.05|264.0|26.93
75|10276|10|TORTU|1996-08-08|4|8|15|24.8|0.0|372.0|13.84
76|10276|13|TORTU|1996-08-08|6|8|10|4.8|0.0|48.0|13.84
77|10277|28|MORGK|1996-08-09|12|7|20|36.4|0.0|728.0|125.77
78|10277|62|MORGK|1996-08-09|29|3|12|39.4|0.0|472.79999999999995|125.77
79|10278|44|BERGS|1996-08-12|20|2|16|15.5|0.0|248.0|92.69
80|10278|59|BERGS|1996-08-12|28|4|15|44.0|0.0|660.0|92.69
81|10278|63|BERGS|1996-08-12|7|2|8|35.1|0.0|280.8|92.69
82|10278|73|BERGS|1996-08-12|17|8|25|12.0|0.0|300.0|92.69
83|10279|17|LEHMS|1996-08-13|7|6|15|31.2|0.25|468.0|25.83
84|10280|24|BERGS|1996-08-14|10|1|12|3.6|0.0|43.2|8.98
85|10280|55|BERGS|1996-08-14|25|6|20|19.2|0.0|384.0|8.98
86|10280|75|BERGS|1996-08-14|12|1|30|6.2|0.0|186.0|8.98
87|10281|19|ROMEY|1996-08-14|8|3|1|7.3|0.0|7.3|2.94
88|10281|24|ROMEY|1996-08-14|10|1|6|3.6|0.0|21.6|2.94
89|10281|35|ROMEY|1996-08-14|16|1|4|14.4|0.0|57.6|2.94
90|10282|30|ROMEY|1996-08-15|13|8|6|20.7|0.0|124.19999999999999|12.69
91|10282|57|ROMEY|1996-08-15|26|5|2|15.6|0.0|31.2|12.69
92|10283|15|LILAS|1996-08-16|6|2|20|12.4|0.0|248.0|84.81
93|10283|19|LILAS|1996-08-16|8|3|18|7.3|0.0|131.4|84.81
94|10283|60|LILAS|1996-08-16|28|4|35|27.2|0.0|952.0|84.81
95|10283|72|LILAS|1996-08-16|14|4|3|27.8|0.0|83.4|84.81
96|10284|27|LEHMS|1996-08-19|11|3|15|35.1|0.25|526.5|76.56
97|10284|44|LEHMS|1996-08-19|20|2|21|15.5|0.0|325.5|76.56
98|10284|60|LEHMS|1996-08-19|28|4|20|27.2|0.25|544.0|76.56
99|10284|67|LEHMS|1996-08-19|16|1|5|11.2|0.25|56.0|76.56
100|10285|1|QUICK|1996-08-20|8|1|45|14.4|0.2|648.0|76.83
101|10285|40|QUICK|1996-08-20|19|8|40|14.7|0.2|588.0|76.83
102|10285|53|QUICK|1996-08-20|24|6|36|26.2|0.2|943.1999999999999|76.83
103|10286|35|QUICK|1996-08-21|16|1|100|14.4|0.0|1440.0|229.24
104|10286|62|QUICK|1996-08-21|29|3|40|39.4|0.0|1576.0|229.24
105|10287|16|RICAR|1996-08-22|7|3|40|13.9|0.15|556.0|12.76
106|10287|34|RICAR|1996-08-22|16|1|20|11.2|0.0|224.0|12.76
107|10287|46|RICAR|1996-08-22|21|8|15|9.6|0.15|144.0|12.76
108|10288|54|REGGC|1996-08-23|25|6|10|5.9|0.1|59.0|7.45
109|10288|68|REGGC|1996-08-23|8|3|3|10.0|0.1|30.0|7.45
110|10289|3|BSBEV|1996-08-26|1|2|30|8.0|0.0|240.0|22.77
111|10289|64|BSBEV|1996-08-26|12|5|9|26.6|0.0|239.4|22.77
112|10290|5|COMMI|1996-08-27|2|2|20|17.0|0.0|340.0|79.7
113|10290|29|COMMI|1996-08-27|12|6|15|99.0|0.0|1485.0|79.7
114|10290|49|COMMI|1996-08-27|23|3|15|16.0|0.0|240.0|79.7
115|10290|77|COMMI|1996-08-27|12|2|10|10.4|0.0|104.0|79.7
116|10291|13|QUEDE|1996-08-27|6|8|20|4.8|0.1|96.0|6.4
117|10291|44|QUEDE|1996-08-27|20|2|24|15.5|0.1|372.0|6.4
118|10291|51|QUEDE|1996-08-27|24|7|2|42.4|0.1|84.8|6.4
119|10292|20|TRADH|1996-08-28|8|3|20|64.8|0.0|1296.0|1.35
120|10293|18|TORTU|1996-08-29|7|8|12|50.0|0.0|600.0|21.18
121|10293|24|TORTU|1996-08-29|10|1|10|3.6|0.0|36.0|21.18
122|10293|63|TORTU|1996-08-29|7|2|5|35.1|0.0|175.5|21.18
123|10293|75|TORTU|1996-08-29|12|1|6|6.2|0.0|37.2|21.18
124|10294|1|RATTC|1996-08-30|8|1|18|14.4|0.0|259.2|147.26
125|10294|17|RATTC|1996-08-30|7|6|15|31.2|0.0|468.0|147.26
